ID ORGAO	SIGLA	id Serv.	NomeServico*	NomeServico*: 	NomesPopulares: 	DescricaoServico*: 	Gratuidade	Custo	ComentariosCusto	UnidadeAtendim*: 	Tempo: 	Outras Informacoes: 	Solicitante*: 	Categoria*: 	Publico Alvo*: 	Comentarios Tempo: 	Quantidade etapas: 	Soma Titulo	Soma Descricao	Soma Documentos	Soma casos Documentos	Soma Channels	Soma Cost	Campos Obrigatorios 8 totais:	Campos Opcionais 8 totais: 	COMPLETUDE 16 totais:	BUFFER ETAPAS
596e172e8c36c75d14a5a8a7	ARSAL	59a70cf18c36c76c54eb4f97	Taxa de Fiscalização (Transporte Intermunicipal/Arsal)	1	1	1	True	1	1	1	1	0	1	1	1	1	1	5	5	48	0	7	1	16	6	22	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Cost description', 1]
596e172e8c36c75d14a5a8a7	ARSAL	59a72f068c36c72eaf6a69d3	Taxa de Outorga (Transporte Intermunicipal/Arsal)	1	1	1	True	1	0	1	1	0	1	1	1	0	1	1	1	1	0	3	1	8	4	12	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Cost description', 0]
596e172e8c36c75d14a5a8a7	ARSAL	59a824a48c36c73d5bf03386	Taxa de Parcelamento (Transporte Intermunicipal/Arsal)	1	1	1	True	1	0	1	1	0	1	1	1	1	1	3	3	3	0	9	1	12	5	17	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Cost description', 0]
596e172e8c36c75d14a5a8a7	ARSAL	59a8274f8c36c73d5bf0338a	Taxa de Baixa e Inclusão (Transporte Intermunicipal/Arsal)	1	1	1	True	1	0	1	1	0	1	1	1	1	1	2	1	3	0	4	1	9	5	14	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 0, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Cost description', 0]
596e172e8c36c75d14a5a8a7	ARSAL	59a828eb8c36c749831b85fd	Certidão Negativa de Débitos (Transporte Intermunicipal/Arsal)	1	1	1	False	1	0	1	1	0	1	1	1	1	1	1	1	2	0	1	1	8	5	13	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1]
596e172e8c36c75d14a5a8a7	ARSAL	59a82b9a8c36c74b01f778f7	Taxa Fretamento (Transporte Intermunicipal/Arsal)	1	1	1	True	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	8	5	13	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1]
596e172e8c36c75d14a5a8a7	ARSAL	59a82e328c36c74b01f778f9	Taxa do Talão de Fretamento (Transporte Intermunicipal/Arsal)	1	1	1	True	1	0	1	1	0	1	1	1	1	1	1	1	2	0	3	1	8	5	13	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 1, 'Cost description', 0]
596e172e8c36c75d14a5a8a7	ARSAL	59a831228c36c74b01f778fb	Reclamação (Ouvidoria Arsal)	1	1	1	False	1	0	1	1	1	1	1	1	1	1	1	1	4	0	4	1	8	6	14	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1]
57501cd88c36c718eb000009	ADEAL	59cbe92e8c36c71c557215a2	Declaração de Vacinação de Febre Aftosa	1	1	1	False	1	0	1	1	0	1	1	1	0	1	2	2	3	0	2	1	10	4	14	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1]
577546098c36c702ca000002	Alagoas Previdência	592724088c36c75435a0a9f5	Solicitação de revisão de pensão	1	1	0	False	1	0	1	1	0	1	1	1	1	2	2	2	4	2	2	1	7	5	12	['Etapa: ', 1, 'Title', 1, 'Etapa: ', 1, 'Description', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents', 1, 'Etapa: ', 1, 'Documents Cases', 1, 'Etapa: ', 1, 'Type Channel', 1, 'Etapa: ', 1, 'Cost', 1, 'Etapa: ', 2, 'Title', 1, 'Etapa: ', 2, 'Description', 1, 'Etapa: ', 2, 'Documents', 1, 'Etapa: ', 2, 'Documents Cases', 1, 'Etapa: ', 2, 'Type Channel', 1, 'Etapa: ', 2, 'Cost', 1]
